t,market_id,market_name,district_name,variety,p_min,p_max,p_modal,clean_market,match_score,latitude,longitude,t2m_mean,t2m_max,t2m_min,d2m_mean,precip_sum_mm,wind_speed_mean
2020-12-26,238,Jagraon,Ludhiana,Other,1900.0,2100.0,2000,JAGRAON,100.0,30.8047,75.4654,11.926254272460938,16.071563720703125,5.992828369140625,8.215065002441406,0.001722573535516858,1.4275044202804565
2020-12-26,1577,Jaitu,Faridkot,Nasik,1800.0,1800.0,1800,JAITU,80.0,30.4606,74.8802,12.687973022460938,17.899688720703125,5.918609619140625,7.017311096191406,0.0021845095325261354,1.4980040788650513
2020-12-26,1615,Khanauri,Sangrur,Other,2800.0,3000.0,2900,KHANAURI,100.0,29.8308,76.1125,12.905258178710938,17.292266845703125,7.192047119140625,7.654029846191406,0.001722573535516858,1.981315016746521
2020-12-26,237,Khanna,Ludhiana,Other,1000.0,2000.0,1500,KHANNA,100.0,30.7104,76.2141,11.792465209960938,15.511016845703125,7.610015869140625,8.655006408691406,0.007727741729468107,1.6307090520858765
2020-12-26,1612,Kharar,Sahibzada Ajit Singh Nagar,Other,2400.0,2800.0,2600,KHARAR,100.0,30.7398,76.6414,11.268539428710938,15.262969970703125,7.106109619140625,8.367408752441406,0.007295608054846525,1.9701520204544067
2020-12-26,228,Kotkapura,Faridkot,Red,2000.0,2500.0,2200,KOTKAPURA,100.0,30.5845,74.8364,12.696273803710938,17.788360595703125,5.742828369140625,7.167213439941406,0.003227591048926115,1.4498326778411865
2020-12-26,822,Lalru,Sahibzada Ajit Singh Nagar,Other,1800.0,2000.0,2000,LALRU,100.0,30.4898,76.8054,11.664047241210938,15.432891845703125,7.174468994140625,8.073951721191406,0.001722573535516858,2.15963077545166
2020-12-26,1597,Ludhiana,Ludhiana,Other,1000.0,2150.0,1600,LUDHIANA,100.0,30.9392,75.8426,11.857406616210938,15.542266845703125,6.981109619140625,8.469459533691406,0.003480910789221525,1.5055598020553589
2020-12-26,249,Malerkotla,Sangrur,Other,1800.0,2800.0,2200,MALERKOTLA,100.0,30.5177,75.8843,12.355453491210938,16.202423095703125,7.117828369140625,8.270240783691406,0.002586841117590666,1.4712960720062256
2020-12-26,242,Malout,Muktsar,Onion,1500.0,2000.0,1600,MALOUT,100.0,30.201,74.4964,13.405746459960938,18.585235595703125,7.922515869140625,7.474342346191406,0.001722573535516858,1.2226982116699219
2020-12-26,1575,Maur,Bathinda,Other,2300.0,2500.0,2400,MAUR,100.0,30.0747,75.2199,12.771469116210938,17.862579345703125,5.949859619140625,7.279029846191406,0.001722573535516858,1.5007067918777466
2020-12-26,241,Muktsar,Muktsar,Nasik,1500.0,2500.0,2000,MUKTSAR,100.0,30.4721,74.5073,12.811508178710938,18.169219970703125,5.873687744140625,7.358619689941406,0.001722573535516858,1.3340556621551514
2020-12-26,246,Nabha,Patiala,Other,1700.0,2700.0,2000,NABHA,100.0,30.3738,76.1394,12.154769897460938,16.083282470703125,7.543609619140625,8.391822814941406,0.0026464457623660564,1.582847237586975
2020-12-26,625,Pathankot,Gurdaspur,Onion,1200.0,2000.0,1600,PATHANKOT,100.0,32.26,75.6377,10.589340209960938,15.496124267578125,4.442047119140625,4.702369689941406,0.003883242141455412,1.1280419826507568
2020-12-26,243,Patiala,Patiala,Onion,1500.0,2500.0,2000,PATIALA,100.0,30.2229,76.0863,12.534652709960938,16.337188720703125,7.723297119140625,8.441627502441406,0.004121660720556974,1.73993980884552
2020-12-26,244,Patran,Patiala,Other,1100.0,1800.0,1500,PATRAN,100.0,29.9499,76.0564,12.839828491210938,17.048126220703125,7.453765869140625,7.847389221191406,0.001722573535516858,1.9931306838989258
2020-12-26,624,Patti,Tarn Taran,Other,2000.0,2800.0,2500,PATTI,100.0,31.2737,74.8493,11.495590209960938,16.966094970703125,5.027984619140625,7.357643127441406,0.009724496863782406,1.4991650581359863
2020-12-26,640,Phagwara,Kapurthala,Other,2000.0,2286.0,2086,PHAGWARA,100.0,31.2354,75.7756,11.411605834960938,15.573516845703125,5.787750244140625,8.149147033691406,0.0037342305295169353,1.291601538658142
2020-12-26,1583,Quadian,Gurdaspur,Other,1500.0,2200.0,1800,QUADIAN,100.0,31.8122,75.2244,10.971176147460938,15.864532470703125,4.539703369140625,7.746315002441406,0.014373659156262875,1.3679603338241577
2020-12-26,1610,Rajpura,Patiala,Local,1800.0,2200.0,2000,RAJPURA,100.0,30.4642,76.577,11.346664428710938,15.481719970703125,7.733062744140625,8.679908752441406,0.002199410693719983,2.1343464851379395
2020-12-26,631,Raman,Bathinda,Other,2000.0,2300.0,2250,RAMAN,100.0,29.9602,74.9686,13.440902709960938,18.397735595703125,7.729156494140625,7.236549377441406,0.001722573535516858,1.3198423385620117
